Symptoms,Disease
"nasal congestion, itchy eyes, watery eyes, runny nose",Allergic Rhinitis
"runny nose, headache, fatigue, cough",Common Cold
"fatigue, sore throat, cough, fever",Common Cold
"chest tightness, wheezing, shortness of breath, cough",Asthma
"fever, chills, dry cough, fatigue, body ache, sore throat",Influenza
"nausea, dizziness, headache",Migraine
"blurred vision, weight loss, frequent urination, increased thirst, fatigue",Diabetes
"chest pain, headache, fatigue, dizziness, blurred vision",Hypertension
"chest tightness, cough, shortness of breath, wheezing",Asthma
"chest pain, blurred vision, fatigue, headache, dizziness",Hypertension
"runny nose, headache, sore throat",Common Cold
"chest tightness, wheezing, cough",Asthma
"cough, headache, sore throat",Common Cold
"blurred vision, frequent urination, fatigue, weight loss",Diabetes
"reduced mobility, stiffness, joint pain, swelling",Arthritis
"frequent urination, blurred vision, weight loss, fatigue, increased thirst",Diabetes
"swelling, reduced mobility, stiffness",Arthritis
"chest pain, sweating, shortness of breath",Angina
"headache, chest pain, blurred vision, fatigue",Hypertension
"blurred vision, headache, chest pain, dizziness, fatigue",Hypertension
"cough, chest tightness, wheezing, shortness of breath",Asthma
"blurred vision, weight loss, increased thirst",Diabetes
"dehydration, vomiting, abdominal pain, nausea",Gastroenteritis
"light sensitivity, headache, vomiting, nausea, dizziness",Migraine
"reduced mobility, swelling, stiffness, joint pain",Arthritis
"headache, fatigue, blurred vision, chest pain, dizziness",Hypertension
"shortness of breath, fatigue, chest pain",Angina
"nausea, light sensitivity, dizziness",Migraine
"sneezing, fatigue, headache, cough, runny nose",Common Cold
"abdominal pain, vomiting, nausea",Gastroenteritis
"runny nose, headache, fatigue, fever",Common Cold
"fever, headache, sore throat, sneezing, cough",Common Cold
"reduced mobility, stiffness, swelling, joint pain",Arthritis
"itchy eyes, watery eyes, nasal congestion, sneezing, runny nose",Allergic Rhinitis
"stiffness, swelling, reduced mobility, joint pain",Arthritis
"nasal congestion, watery eyes, sneezing, itchy eyes",Allergic Rhinitis
"nasal congestion, watery eyes, runny nose, itchy eyes, sneezing",Allergic Rhinitis
"chills, fatigue, headache, fever, body ache",Influenza
"blurred vision, increased thirst, frequent urination, weight loss",Diabetes
"wheezing, shortness of breath, cough, chest tightness",Asthma
"chest pain, fatigue, shortness of breath",Angina
"reduced mobility, joint pain, swelling, stiffness",Arthritis
"chest pain, headache, fatigue, blurred vision, dizziness",Hypertension
"vomiting, diarrhea, dehydration",Gastroenteritis
"blurred vision, chest pain, fatigue, dizziness, headache",Hypertension
"fatigue, chest pain, sweating",Angina
"dry cough, body ache, fever, headache",Influenza
"cough, wheezing, chest tightness, shortness of breath",Asthma
"headache, dizziness, chest pain, fatigue",Hypertension
"headache, fever, sore throat, chills, fatigue, dry cough",Influenza
"fatigue, shortness of breath, sweating, chest pain",Angina
"sore throat, fatigue, runny nose",Common Cold
"stiffness, joint pain, reduced mobility",Arthritis
"joint pain, stiffness, reduced mobility, swelling",Arthritis
"cough, sneezing, fatigue",Common Cold
"light sensitivity, vomiting, nausea, headache, dizziness",Migraine
"wheezing, chest tightness, shortness of breath, cough",Asthma
"dizziness, headache, nausea",Migraine
"weight loss, blurred vision, frequent urination, increased thirst",Diabetes
"stiffness, reduced mobility, joint pain",Arthritis
"vomiting, headache, dizziness",Migraine
"wheezing, cough, chest tightness",Asthma
"runny nose, nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"weight loss, increased thirst, fatigue",Diabetes
"sweating, fatigue, chest pain",Angina
"nausea, light sensitivity, dizziness, vomiting, headache",Migraine
"weight loss, blurred vision, increased thirst, frequent urination, fatigue",Diabetes
"itchy eyes, nasal congestion, sneezing",Allergic Rhinitis
"fever, headache, runny nose",Common Cold
"stiffness, joint pain, reduced mobility, swelling",Arthritis
"fatigue, blurred vision, chest pain, headache, dizziness",Hypertension
"joint pain, stiffness, reduced mobility",Arthritis
"shortness of breath, chest tightness, cough, wheezing",Asthma
"shortness of breath, sweating, fatigue, chest pain",Angina
"shortness of breath, wheezing, cough",Asthma
